<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
2001-04-23,8.034955024502159,8.038834757787749,8.034631032923107,8.036249942132116,1529794816.0,495008,410,8.034306936339489,8.036249942132116
2001-04-24,8.035926369891792,8.049107721326406,8.035926369891792,8.049107721326406,2196484253.0,705864,419,8.036249942132116,8.049107721326406
2001-04-25,8.071843149609158,8.097730573664219,8.049107721326406,8.097730573664219,307808716.0,94443,107,8.049107721326406,8.097730573664219
2001-04-28,8.146419323098003,8.146419323098003,8.119993827725105,8.146419323098003,3313926256.0,962280,611,8.097730573664219,8.146419323098003
2001-04-29,8.146419323098003,8.191740021277457,8.14351740579748,8.166500319155052,2295314354.0,651640,430,8.146419323098003,8.166500319155052
2001-04-30,8.174984532943087,8.186185994226083,8.166500319155052,8.16961956172385,1834287435.0,515842,424,8.166500319155052,8.16961956172385
2001-05-01,8.174702882469461,8.177515823846075,8.161375023197486,8.17103418920548,1473195131.0,415255,390,8.16961956172385,8.17103418920548
2001-05-02,8.169336395928386,8.169336395928386,8.137688184977605,8.137688184977605,1067293261.0,307281,347,8.17103418920548,8.137688184977605
2001-05-05,8.13505390861157,8.137688184977605,8.12296471523406,8.134174272137903,1599525490.0,470082,419,8.137688184977605,8.134174272137903
2001-05-06,8.14060704285845,8.152198015861787,8.134760782418645,8.147867129923947,2311560861.0,670450,405,8.134174272137903,8.147867129923947
2001-05-07,8.147867129923947,8.186185994226083,8.147867129923947,8.186185994226083,1842285659.0,525826,359,8.147867129923947,8.186185994226083
2001-05-08,8.186185994226083,8.202482446576537,8.16223106548118,8.188411308079031,2293543983.0,642528,357,8.186185994226083,8.188411308079031
2001-05-09,8.18757739559151,8.188966863648876,8.179199798423086,8.182279739259018,1040455849.0,290450,257,8.188411308079031,8.182279739259018
2001-05-12,8.182559264068665,8.183118079394745,8.161089512845797,8.166216268592143,640421450.0,180715,211,8.182279739259018,8.166216268592143
2001-05-13,8.163656176168432,8.166500319155052,8.146709052203319,8.165647925297504,1284013846.0,367043,367,8.166216268592143,8.165647925297504
2001-05-15,8.165647925297504,8.165647925297504,8.160518247477505,8.161660452056282,995082643.0,283850,272,8.165647925297504,8.161660452056282
2001-05-16,8.161660452056282,8.163656176168432,8.157943507105037,8.160803920954665,1189322545.0,339597,295,8.161660452056282,8.160803920954665
2001-05-19,8.160803920954665,8.164794804244766,8.14351740579748,8.157370441186774,3958060693.0,1145576,323,8.160803920954665,8.157370441186774
2001-05-20,8.157370441186774,8.157370441186774,8.13622555490846,8.144969417087875,1650250917.0,480474,305,8.157370441186774,8.144969417087875
2001-05-21,8.145259566516865,8.145259566516865,8.135346948906706,8.13622555490846,1334026395.0,389722,313,8.144969417087875,8.13622555490846
2001-05-23,8.137688184977605,8.15507488781144,8.137103389639302,8.152198015861787,1289776767.0,372608,294,8.13622555490846,8.152198015861787
2001-05-26,8.15507488781144,8.166784289056151,8.15507488781144,8.161089512845797,1386946067.0,396099,306,8.152198015861787,8.161089512845797
2001-05-27,8.166500319155052,8.197263371414335,8.163086375583216,8.195057690895077,1831451541.0,512473,320,8.161089512845797,8.195057690895077
2001-05-28,8.197263371414335,8.202756381655638,8.174984532943087,8.180320874773685,978207877.0,272305,270,8.195057690895077,8.180320874773685
2001-05-29,8.177796683277778,8.177796683277778,8.159946655578548,8.160803920954665,1388279306.0,394759,339,8.180320874773685,8.160803920954665
2001-05-30,8.163371316459912,8.174702882469461,8.160803920954665,8.169336395928386,1169097545.0,331146,311,8.160803920954665,8.169336395928386
2001-06-02,8.169336395928386,8.174984532943087,8.157943507105037,8.160518247477505,1788992053.0,507965,394,8.169336395928386,8.160518247477505
2001-06-03,8.160232492367689,8.160803920954665,8.152198015861787,8.160803920954665,942728650.0,270617,338,8.160518247477505,8.160803920954665
2001-06-06,8.160232492367689,8.16194579946869,8.15507488781144,8.16194579946869,1058351619.0,302522,290,8.160803920954665,8.16194579946869
2001-06-09,8.172164452111904,8.18060094759445,8.16194579946869,8.178919332848396,1260727875.0,356390,348,8.16194579946869,8.178919332848396
2001-06-11,8.18060094759445,8.19450550976564,8.18060094759445,8.188966863648876,2770270403.0,768864,486,8.178919332848396,8.188966863648876
2001-06-12,8.188966863648876,8.191463051326927,8.176110342237342,8.183955717304954,1956320862.0,546106,357,8.188966863648876,8.183955717304954
2001-06-13,8.183118079394745,8.183118079394745,7.731930721948486,8.17695386822578,2131304856.0,649121,654,8.183955717304954,8.17695386822578
2001-06-16,8.174984532943087,8.174984532943087,8.16223106548118,8.162801353492073,1292698150.0,366728,368,8.17695386822578,8.162801353492073
2001-06-17,8.16223106548118,8.16223106548118,8.154212694914229,8.159660737063376,1911407144.0,547261,421,8.162801353492073,8.159660737063376
2001-06-18,8.155649270366002,8.163656176168432,8.152198015861787,8.163656176168432,1713486660.0,491032,425,8.159660737063376,8.163656176168432
2001-06-19,8.163656176168432,8.174984532943087,8.163656176168432,8.172164452111904,3362570813.0,951258,494,8.163656176168432,8.172164452111904
2001-06-20,8.169336395928386,8.185907481482324,8.16223106548118,8.183397369998433,2114304356.0,596395,440,8.172164452111904,8.183397369998433
2001-06-23,8.183397369998433,8.188411308079031,8.16961956172385,8.172164452111904,1564794127.0,440805,404,8.183397369998433,8.172164452111904
2001-06-24,8.172164452111904,8.177796683277778,8.169336395928386,8.172164452111904,2053231667.0,580158,520,8.172164452111904,8.172164452111904
2001-06-25,8.172164452111904,8.17526610411206,8.167068178341237,8.172164452111904,1728634751.0,488441,474,8.172164452111904,8.172164452111904
2001-06-26,8.17188200612782,8.172164452111904,8.163656176168432,8.167068178341237,9271810478.0,2633144,592,8.172164452111904,8.167068178341237
2001-06-27,8.167068178341237,8.167068178341237,8.162801353492073,8.163656176168432,2206884423.0,627807,524,8.167068178341237,8.163656176168432
2001-06-30,8.163656176168432,8.163656176168432,8.15507488781144,8.159660737063376,2539504161.0,726317,650,8.163656176168432,8.159660737063376
2001-07-01,8.159374736775426,8.160803920954665,8.152198015861787,8.160803920954665,3529425321.0,1012598,837,8.159660737063376,8.160803920954665
2001-07-02,8.156797046675651,8.157657015196472,8.149601735736155,8.152198015861787,2192411485.0,630221,688,8.160803920954665,8.152198015861787
2001-07-03,8.151333337900432,8.152198015861787,8.138856750696325,8.144098463338524,3737168990.0,1082782,828,8.152198015861787,8.144098463338524
2001-07-04,8.14351740579748,8.143807976771484,8.13739583005665,8.14351740579748,3235056011.0,943588,778,8.144098463338524,8.14351740579748
2001-07-07,8.139440521874608,8.143226750367443,8.137688184977605,8.137688184977605,2991480743.0,873633,781,8.14351740579748,8.137688184977605
2001-07-08,8.137688184977605,8.146419323098003,8.137688184977605,8.146419323098003,3001252122.0,873256,911,8.137688184977605,8.146419323098003
2001-07-09,8.146129510025405,8.166500319155052,8.146129510025405,8.163940954755008,3911210845.0,1121110,902,8.146419323098003,8.163940954755008
